Capacitive_Sensor,Inductive_Sensor,Optical_Sensor,Temperature_Sensor,Airflow_Sensor,Current_Sensor,Failure
True,False,True,31.374863228891794,3.0,0.85,False
True,True,True,31.915599759160507,2.0,0.72,True
False,True,True,28.79570585649732,6.0,0.69,False
True,False,True,34.46040621260748,4.0,0.8,False
True,True,False,29.309846622207704,1.0,0.92,True
False,True,False,30.737378951515694,0.65,True,True
True,True,False,32.75432212573706,3.0,0.78,False
False,True,True,30.132067870089152,2.0,0.88,False
True,False,True,30.41307167170649,6.0,0.91,True
False,True,False,30.636488577609725,1.0,0.72,False
